Resolution,InstancingMethod,QuadtreeDepth,GlyphAtlas,UseShadows,Frametime,Framerate
1440x773,None,3,lodAtlas,true,33,30.303030303030305
1440x773,None,3,lodAtlas,true,33.099999994039536,30.21148036797808
1440x773,None,3,lodAtlas,true,33.29999999701977,30.03003003271761
1440x773,None,3,lodAtlas,true,33.29999999701977,30.03003003271761
1440x773,None,3,lodAtlas,true,33.3999999910593,29.940119768493577
1440x773,None,3,lodAtlas,true,33.400000005960464,29.940119755136017
1440x773,None,3,lodAtlas,true,33.5,29.850746268656717
1440x773,None,3,lodAtlas,true,33.5,29.850746268656717
1440x773,None,3,lodAtlas,true,33.5,29.850746268656717
1440x773,None,3,lodAtlas,true,33.5,29.850746268656717
1440x773,None,3,lodAtlas,true,33.5,29.850746268656717
1440x773,None,3,lodAtlas,true,33.599999994039536,29.76190476718437
1440x773,None,3,lodAtlas,true,33.599999994039536,29.76190476718437
1440x773,None,3,lodAtlas,true,33.599999994039536,29.76190476718437
1440x773,None,3,lodAtlas,true,33.599999994039536,29.76190476718437
1440x773,None,3,lodAtlas,true,33.599999994039536,29.76190476718437
1440x773,None,3,lodAtlas,true,33.6000000089407,29.761904753985352
1440x773,None,3,lodAtlas,true,33.6000000089407,29.761904753985352
1440x773,None,3,lodAtlas,true,33.6000000089407,29.761904753985352
1440x773,None,3,lodAtlas,true,33.69999998807907,29.67359051494768
1440x773,None,3,lodAtlas,true,33.69999998807907,29.67359051494768
1440x773,None,3,lodAtlas,true,33.69999998807907,29.67359051494768
1440x773,None,3,lodAtlas,true,33.69999998807907,29.67359051494768
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.70000000298023,29.67359050182688
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.79999999701977,29.585798819176702
1440x773,None,3,lodAtlas,true,33.80000001192093,29.585798806133425
1440x773,None,3,lodAtlas,true,33.80000001192093,29.585798806133425
1440x773,None,3,lodAtlas,true,33.80000001192093,29.585798806133425
1440x773,None,3,lodAtlas,true,33.80000001192093,29.585798806133425
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.8999999910593,29.498525081526175
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,33.900000005960464,29.498525068559736
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34,29.41176470588235
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.099999994039536,29.325513201606853
1440x773,None,3,lodAtlas,true,34.1000000089407,29.325513188792065
1440x773,None,3,lodAtlas,true,34.1000000089407,29.325513188792065
1440x773,None,3,lodAtlas,true,34.1000000089407,29.325513188792065
1440x773,None,3,lodAtlas,true,34.1000000089407,29.325513188792065
1440x773,None,3,lodAtlas,true,34.1000000089407,29.325513188792065
1440x773,None,3,lodAtlas,true,34.1000000089407,29.325513188792065
1440x773,None,3,lodAtlas,true,34.1000000089407,29.325513188792065
1440x773,None,3,lodAtlas,true,34.19999998807907,29.23976609206331
1440x773,None,3,lodAtlas,true,34.19999998807907,29.23976609206331
1440x773,None,3,lodAtlas,true,34.19999998807907,29.23976609206331
1440x773,None,3,lodAtlas,true,34.19999998807907,29.23976609206331
1440x773,None,3,lodAtlas,true,34.19999998807907,29.23976609206331
1440x773,None,3,lodAtlas,true,34.19999998807907,29.23976609206331
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.30000001192093,29.154518940304694
1440x773,None,3,lodAtlas,true,34.30000001192093,29.154518940304694
1440x773,None,3,lodAtlas,true,34.30000001192093,29.154518940304694
1440x773,None,3,lodAtlas,true,34.30000001192093,29.154518940304694
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.599999994039536,28.901734109025078
1440x773,None,3,lodAtlas,true,34.6000000089407,28.901734096577986
1440x773,None,3,lodAtlas,true,34.6000000089407,28.901734096577986
1440x773,None,3,lodAtlas,true,34.6000000089407,28.901734096577986
1440x773,None,3,lodAtlas,true,34.6000000089407,28.901734096577986
1440x773,None,3,lodAtlas,true,34.6000000089407,28.901734096577986
1440x773,None,3,lodAtlas,true,34.6000000089407,28.901734096577986
